Filename,UnifiedQualityScore,BackgroundUniformity,IlluminationUniformity,LuminanceMean,LuminanceVariance,UnderExposurePrevention,OverExposurePrevention,DynamicRange,Sharpness,CompressionArtifacts,NaturalColour,SingleFacePresent,EyesOpen,MouthClosed,EyesVisible,MouthOcclusionPrevention,FaceOcclusionPrevention,InterEyeDistance,HeadSize,LeftwardCropOfTheFaceImage,RightwardCropOfTheFaceImage,MarginAboveOfTheFaceImage,MarginBelowOfTheFaceImage,HeadPoseYaw,HeadPosePitch,HeadPoseRoll,ExpressionNeutrality,NoHeadCoverings,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,CompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfTheFaceImage.scalar,RightwardCropOfTheFaceImage.scalar,MarginAboveOfTheFaceImage.scalar,MarginBelowOfTheFaceImage.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,assessment_time_in_ms,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,ica_quality_score_0_100
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000001.jpg,22.623146,44.810166,0.450572,0.52622,0.053256,0.047974,0.001819,7.74123,47,0.874958,0.0,0.0,0.088036,0.1001,0.0,0.0,0.025927,84.881155,0.222442,3.172202,3.120411,1.217743,3.280049,-24.508384,21.576672,13.574823,-11226.68262,0.0,46,79,79,99,68,100,85,97,100,100,100,100,100,84,100,100,97,68,2,100,100,14,100,83,86,94,22,100,331,0.6936114977536526,-1.848243179551835,-0.6234664736060648,0.4879803669632922,0.3189605091005097,0.31772030887447883,-0.20685543893252153,0.7392239988885685,0.14787995235748008,-0.22670014382404866,90.47575050316473
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000002.jpg,24.552317,50.809587,0.617998,0.333734,0.032079,0.107716,0.0,7.47428,46,0.935663,0.0,0.0,0.095663,0.142833,0.0,0.0,0.009048,82.989868,0.247797,2.843197,3.64812,1.426461,2.608385,-21.85375,9.131872,1.990064,-15189.34473,0.0,64,76,87,94,88,100,100,93,100,100,100,100,100,72,100,100,99,66,3,100,100,57,100,86,97,100,12,100,299,0.2760459697030946,-0.32157223009467045,-0.9343593877491557,0.3736371468912025,0.37144759367470054,0.34012343257014455,-0.9652628084923167,0.6282425613231738,0.5229657524244907,-0.030135594709593556,91.27735775436275
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000003.jpg,13.41284,49.806422,0.279778,0.210248,0.004634,0.004886,0.0,5.370378,41,0.901839,0.0,0.0,0.028303,0.11571,0.136555,0.038073,0.106693,36.192206,0.206314,14.555556,14.222222,1.793904,3.053086,60.175522,32.607289,-33.413351,-6607.427734,0.0,2,76,68,55,63,100,100,67,99,100,100,100,70,80,86,96,89,16,2,100,100,98,100,25,71,70,42,100,325,0.362132752293566,0.34681911006949395,-1.4947850090209516,0.3269076311099183,0.22076925281056753,0.29961585941915875,-0.4242956959310678,-0.49111770327530324,-1.6514611103140784,-0.049733827389622086,86.38050657363276
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000004.jpg,16.202539,3.545302,0.387097,0.361539,0.023819,0.026982,0.0,7.200936,47,0.946074,0.0,0.0,0.022249,0.005406,0.589542,0.017868,0.157729,247.714384,0.150136,4.775799,4.222505,1.411058,5.249569,33.720076,30.436916,-18.502734,2006.98291,0.0,7,98,75,96,96,100,100,90,100,100,100,100,56,96,41,98,84,100,0,100,100,53,100,69,74,90,80,100,353,0.6406572989428405,-0.21145249169212052,-0.5546154909851032,0.6739373995189424,0.22762026546661157,0.10112647480580084,0.8252387024791665,-1.4064071974666263,0.8447384946841318,-1.3448067409766205,90.46866558648868
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000005.jpg,15.857387,95.969044,0.018006,0.426675,0.05915,0.170158,0.0,7.243264,36,0.892032,0.0,0.0,0.087283,0.040459,0.0,0.0,0.000598,54.988196,0.094625,6.008495,6.155044,2.13664,8.431413,-6.904843,-20.320152,4.516731,7481.671387,0.0,6,57,30,99,64,100,100,91,98,100,100,100,100,93,100,100,100,32,0,100,100,100,100,99,88,99,92,100,312,-0.13002741892493858,-1.0221344892849231,-1.638328472869374,0.16778086884812085,0.21985945201714016,0.27210126639867205,0.6689496728497693,0.3710808416020388,-0.17746559608368304,0.37166654841443947,89.26447684761783
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000006.jpg,23.973375,92.086371,0.078972,0.269765,0.019177,0.114222,0.0,7.105316,46,0.894451,0.0,0.0,0.091633,0.095337,0.0,0.0,0.006046,60.784451,0.180082,4.416229,3.594605,1.549723,4.029279,16.030332,7.462046,-8.441428,-2797.20166,0.0,59,58,47,80,99,100,100,89,100,100,100,100,100,85,100,100,99,39,1,100,100,82,100,92,98,98,61,100,328,-0.07647022741167629,0.23116122180073626,-1.333594400005995,0.013603860221150567,0.31332298029853245,0.22933556074780764,-0.1330964152573683,0.12767923014285282,0.43773142781773167,0.4212741075714679,91.2248729765652
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000007.jpg,29.405861,152.241272,0.577932,0.301773,0.025058,0.098997,0.0,7.298881,45,0.910794,0.0,0.0,0.081817,0.007198,0.0,0.0,0.006547,76.672853,0.277872,2.652519,2.704785,1.43747,2.174263,-3.48532,6.804017,5.566035,7169.558105,0.0,92,37,85,88,95,100,100,91,100,100,100,100,100,96,100,100,99,58,6,100,100,59,98,100,99,99,92,100,307,-0.33912926007110156,-0.17914996316049678,-1.040491705441807,-0.19113961242466293,0.3389504743862739,0.18219079453582068,0.6504056299437548,-0.14587997998189606,0.5832914922414341,0.8303828547252138,92.02206783561266
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000008.jpg,26.958624,49.21778,0.505859,0.298558,0.01953,0.065166,0.0,7.152036,44,0.907229,0.0,0.515103,0.081567,0.0,0.0,0.0,0.016395,67.275811,0.132988,5.231291,5.506622,1.743687,5.803868,-13.649272,15.368692,-3.564831,11554.8877,0.0,82,77,82,88,99,100,100,89,99,100,100,48,100,97,100,100,98,47,0,100,100,97,100,94,93,100,96,100,314,0.8689732163895107,0.9516226756454714,-0.959047848400415,-4.118091169155377,0.5568434777783071,1.0793019383234983,2.009044676535395,1.415698680158556,1.3509949881281678,-0.12125355639696056,96.09887427650231
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000009.jpg,25.166595,54.641288,0.338843,0.27597,0.01592,0.083456,1.9e-05,6.992426,48,0.930779,0.0,0.0,0.090551,0.079692,0.0,0.0,0.017608,139.523104,0.119044,6.265979,4.606902,1.894139,6.50559,14.604843,14.024569,-2.002652,-15240.16699,0.0,70,74,72,82,100,100,100,87,100,100,100,100,100,88,100,100,98,97,0,100,100,99,100,94,94,100,11,100,346,-0.044451343030321354,0.3293702986445829,-0.9910838924309621,0.16099911521344695,0.32614585740344365,0.16773892025892095,0.2774754142668638,0.36616924070752455,0.3999920315755925,-0.13651214393785235,92.31142054494565
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000010.jpg,25.935026,14.354215,0.166531,0.238355,0.021109,0.224361,0.0,7.006002,42,0.917931,0.0,0.0,0.093173,0.007315,0.0,0.0,0.079083,79.573477,0.230157,3.257411,2.993296,1.572,2.791402,2.270514,6.650193,7.810254,-4111.684082,0.0,76,93,58,68,98,100,100,88,99,100,100,100,100,96,100,100,92,62,2,100,100,85,100,100,99,98,54,100,304,0.36883060710773324,0.4833206352894844,-1.0329930764609352,0.31816939139192607,0.20620126629678978,0.1403100571112701,0.6956832610694363,0.36642900638579706,0.14693515991615677,-0.7567345997128121,92.45105765042746
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000011.jpg,19.570745,52.102459,0.0,0.236753,0.030627,0.290199,0.0,6.988249,19,0.90415,0.0,0.0,0.11592,0.13923,0.001758,0.0,0.036763,48.140647,0.136486,5.264705,5.893952,1.552827,5.783364,7.967059,14.161532,8.724995,-8725.879883,0.0,21,75,0,68,89,100,100,87,93,100,100,100,100,73,100,100,96,25,0,100,100,82,100,98,94,98,32,100,290,0.0296689281779726,0.27004261923936773,-1.4097138152250213,0.32539123527264713,0.2932059503284875,0.32434054656170436,-0.9820540345303961,0.3179770976340723,-0.06154582426079185,0.04279642777978134,89.34554930157829
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000012.jpg,28.788509,3.505807,0.352617,0.252209,0.015989,0.141341,0.0,6.945426,49,0.883081,3.221132,0.0,0.072282,0.101803,0.0,0.0,0.006836,37.662326,0.26818,4.567624,3.770945,1.30339,2.447477,-1.021478,2.858749,-9.51129,-16631.60156,0.0,90,98,73,74,100,100,100,87,100,100,84,100,99,84,100,100,99,17,5,100,100,28,100,100,100,97,9,100,331,0.8670778728888086,0.5710519518825365,-0.8964337867794602,0.4229888175427745,0.2678847834105426,-0.739884568818345,-0.43624598666902176,0.7775715998045056,0.19530624246115388,-0.4723240239892377,91.79178958229046
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000013.jpg,31.33326,83.522347,0.252595,0.199393,0.023351,0.330558,0.0,6.966108,28,0.939014,0.0,0.0,0.058123,0.079263,0.0,0.0,0.00098,97.985206,0.354154,2.681617,2.599422,1.446143,1.378355,6.63297,12.934553,3.778688,-11308.50684,0.0,96,62,66,50,97,100,100,87,96,100,100,100,98,88,100,100,100,80,26,100,100,61,1,99,95,100,22,100,304,0.10773942739617294,0.5899072708703469,0.09281460234025411,0.021155030070755147,0.28329292558380975,0.24739920168550222,0.23131590270207822,0.1915259275761966,-0.0007838326185191435,0.2734031206645385,94.36651225895018
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/000014.jpg,28.132841,56.236105,0.69213,0.19372,0.011146,0.211543,0.0,6.706907,50,0.901952,3.064156,0.0,0.095367,0.006702,0.0,0.0,0.009237,93.740703,0.251203,2.982433,2.625838,1.662036,2.318808,9.173066,18.892552,-8.544408,-7178.443848,0.0,88,73,90,47,95,100,100,84,100,100,85,100,100,96,100,100,99,77,4,100,100,93,99,97,90,98,39,100,294,0.16482041064070416,0.7127476905558046,-1.0008686435353622,0.17872562852706148,0.2602299168819758,-0.7916045675243107,0.7722340095179752,0.18399724178274632,-0.24924443935223328,0.1302112799833316,91.45143611245709
